Эксперимент,Количество точек,Количество процессов,Время,Ускорение,Эффективность,Погрешность
1,1000000,2,0.004685,5.694024,2.847012,0.002547
2,5000000,2,0.029237,4.898890,2.449445,0.000182
3,10000000,2,0.055587,5.166397,2.583198,0.000200
4,50000000,2,0.237511,5.073274,2.536637,0.000097
5,100000000,2,0.472481,5.076782,2.538391,0.000141
6,1000000,4,0.002276,11.131812,2.782953,0.000785
7,5000000,4,0.011518,14.687566,3.671891,0.001065
8,10000000,4,0.033778,7.673949,1.918487,0.000331
9,50000000,4,0.129033,9.916056,2.479014,0.000416
10,100000000,4,0.272497,9.094570,2.273643,0.000028
11,1000000,8,0.001359,35.461306,4.432663,0.000909
12,5000000,8,0.018120,11.858128,1.482266,0.000648
13,10000000,8,0.015030,17.750730,2.218841,0.000678
14,50000000,8,0.083258,21.486623,2.685828,0.000160
15,100000000,8,0.175091,18.108990,2.263624,0.000092
