Эксперимент,Алгоритм,Размер N,Процессы,Время,Ускорение,Эффективность,Погрешность
1,row,1024,2,0.000777,1.154646,0.577323,0.000000
2,row,2048,2,0.002602,1.739197,0.869598,0.000000
3,row,4096,2,0.006714,1.594801,0.797400,0.000000
4,row,8192,2,0.028088,1.578779,0.789389,0.000000
5,row,1024,4,0.000216,3.685333,0.921333,0.000000
6,row,2048,4,0.001046,2.831769,0.707942,0.000000
7,row,4096,4,0.003462,3.413183,0.853296,0.000000
8,row,8192,4,0.016463,2.517354,0.629338,0.000000
9,row,1024,8,0.000158,4.664006,0.583001,0.000000
10,row,2048,8,0.000734,3.903433,0.487929,0.000000
11,row,4096,8,0.003740,2.547097,0.318387,0.000000
12,row,8192,8,0.012504,4.208357,0.526045,0.000000
13,col,1024,2,0.000505,1.824601,0.912301,0.000000
14,col,2048,2,0.002418,1.817243,0.908621,0.000000
15,col,4096,2,0.008026,1.806487,0.903243,0.000000
16,col,8192,2,0.054024,1.194717,0.597359,0.000000
17,col,1024,4,0.000404,4.218781,1.054695,0.000000
18,col,2048,4,0.002721,1.005539,0.251385,0.000000
19,col,4096,4,0.006499,2.020053,0.505013,0.000000
20,col,8192,4,0.013325,4.014030,1.003507,0.000000
21,col,1024,8,0.000813,0.959807,0.119976,0.000000
22,col,2048,8,0.007890,0.335566,0.041946,0.000000
23,col,4096,8,0.003945,2.518490,0.314811,0.000000
24,col,8192,8,0.030973,1.387432,0.173429,0.000000
25,block,1024,4,0.001262,0.510058,0.127515,0.000000
26,block,2048,4,0.000896,3.399562,0.849890,0.000000
27,block,4096,4,0.003524,2.754759,0.688690,0.000000
28,block,8192,4,0.011432,3.452597,0.863149,0.000000
29,row,1024,2,0.000494,1.872033,0.936016,0.000000
30,row,2048,2,0.001917,1.513656,0.756828,0.000000
31,row,4096,2,0.006633,2.055652,1.027826,0.000000
32,row,8192,2,0.024012,1.782250,0.891125,0.000000
33,row,1024,4,0.003392,0.191263,0.047816,0.000000
34,row,2048,4,0.001045,3.607075,0.901769,0.000000
35,row,4096,4,0.003823,2.533436,0.633359,0.000000
36,row,8192,4,0.012636,3.714522,0.928630,0.000000
37,row,1024,8,0.001204,0.670606,0.083826,0.000000
38,row,2048,8,0.005548,0.749369,0.093671,0.000000
39,row,4096,8,0.003350,2.940039,0.367505,0.000000
40,row,8192,8,0.012031,3.392858,0.424107,0.000000
41,col,1024,2,0.000378,2.760286,1.380143,0.000000
42,col,2048,2,0.001468,3.651299,1.825650,0.000000
43,col,4096,2,0.006549,1.592441,0.796221,0.000000
44,col,8192,2,0.031063,1.321404,0.660702,0.000000
45,col,1024,4,0.000790,1.089733,0.272433,0.000000
46,col,2048,4,0.001664,1.715709,0.428927,0.000000
47,col,4096,4,0.003651,3.649826,0.912457,0.000000
48,col,8192,4,0.013233,3.507791,0.876948,0.000000
49,col,1024,8,0.000127,4.855217,0.606902,0.000000
50,col,2048,8,0.001165,2.340946,0.292618,0.000000
51,col,4096,8,0.003775,2.666188,0.333274,0.000000
52,col,8192,8,0.012103,3.695541,0.461943,0.000000
53,block,1024,4,0.000234,3.172567,0.793142,0.000000
54,block,2048,4,0.001320,2.384552,0.596138,0.000000
55,block,4096,4,0.003151,3.197269,0.799317,0.000000
56,block,8192,4,0.012983,3.661813,0.915453,0.000000
57,row,1024,2,0.000412,2.041296,1.020648,0.000000
58,row,2048,2,0.001887,3.159002,1.579501,0.000000
59,row,4096,2,0.005260,2.499102,1.249551,0.000000
60,row,8192,2,0.024893,2.068901,1.034451,0.000000
61,row,1024,4,0.000207,3.631743,0.907936,0.000000
62,row,2048,4,0.001953,2.079617,0.519904,0.000000
63,row,4096,4,0.006368,2.012963,0.503241,0.000000
64,row,8192,4,0.039145,1.505097,0.376274,0.000000
65,row,1024,8,0.000262,4.146417,0.518302,0.000000
66,row,2048,8,0.007925,0.545900,0.068238,0.000000
67,row,4096,8,0.003130,3.408452,0.426057,0.000000
68,row,8192,8,0.033108,1.245596,0.155700,0.000000
69,col,1024,2,0.001146,1.108117,0.554059,0.000000
70,col,2048,2,0.001944,1.851751,0.925876,0.000000
71,col,4096,2,0.007531,1.735448,0.867724,0.000000
72,col,8192,2,0.023116,2.967902,1.483951,0.000000
73,col,1024,4,0.000245,2.950834,0.737708,0.000000
74,col,2048,4,0.000945,2.790990,0.697747,0.000000
75,col,4096,4,0.004431,2.417106,0.604277,0.000000
76,col,8192,4,0.012707,3.308883,0.827221,0.000000
77,col,1024,8,0.000149,4.693986,0.586748,0.000000
78,col,2048,8,0.002647,1.151417,0.143927,0.000000
79,col,4096,8,0.007895,1.263954,0.157994,0.000000
80,col,8192,8,0.011965,3.451477,0.431435,0.000000
81,block,1024,4,0.002521,0.507146,0.126787,0.000000
82,block,2048,4,0.000854,3.357270,0.839318,0.000000
83,block,4096,4,0.002976,3.288398,0.822100,0.000000
84,block,8192,4,0.011546,3.548336,0.887084,0.000000
