Эксперимент,Алгоритм,Размер N,Процессы,Время,Ускорение,Эффективность,Погрешность
1,cannon,128,1,0.009153,1.491996,1.491996,0.000000
2,cannon,256,1,0.080657,1.536664,1.536664,0.000000
3,cannon,512,1,3.613900,1.431367,1.431367,0.000000
4,cannon,1024,1,29.211223,1.486857,1.486857,0.000000
5,cannon,128,4,0.010000,0.890460,0.222615,0.000000
6,cannon,256,4,0.048224,4.843032,1.210758,0.000000
7,cannon,512,4,0.881177,12.340916,3.085229,0.000000
8,cannon,1024,4,17.274229,5.138048,1.284512,0.000000
9,cannon,128,16,0.018960,0.470461,0.029404,525.000000
10,cannon,256,16,0.067442,13.173535,0.823346,938.000000
11,cannon,512,16,0.419558,99.254763,6.203423,1196.000000
12,cannon,1024,16,5.087988,70.801887,4.425118,1814.000000
